StartTime: 2022-01-08 16:04:33.381
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
0x50	 16:04:33.381	-0.2749	-0.0244	1.0103	-1.2207	0.2441	-0.1831	4.3726	19.4183	110.8685	20.64	548	-172	-592	102430	-91.61	117.34998317	39.09999350	-2.6	250.5	2.333	-0.56409	0.11746	-0.12659	-0.80740	6	2.70	1.20	2.40
0x50	 16:04:33.580	0.0000	0.1514	1.1069	16.2964	-2.7466	-0.6714	4.1638	18.6163	110.9070	20.64	544	-172	-598	102429	-91.54	117.34998317	39.09999350	-2.6	250.5	2.333	-0.56403	0.11279	-0.12119	-0.80893	6	2.70	1.20	2.40
0x50	 16:04:33.778	-0.2715	0.1074	0.9697	-108.5205	43.8232	0.1221	15.1611	11.7828	111.3190	20.63	516	-211	-590	102429	-91.53	117.34998317	39.09999350	-2.6	250.5	2.333	-0.56735	0.00998	-0.16574	-0.80649	6	2.70	1.20	2.40
0x50	 16:04:33.979	-0.2358	0.1079	0.9678	-8.1787	12.6953	1.2207	9.0363	16.4740	110.5994	20.61	539	-181	-599	102429	-91.51	117.34998317	39.09999350	-2.6	250.5	2.333	-0.57089	0.07300	-0.14542	-0.80469	6	2.70	1.20	2.40
0x50	 16:04:34.176	-0.3003	0.1597	0.9800	-2.3804	0.3052	-0.7935	8.7506	15.9467	110.0995	20.63	542	-182	-603	102428	-91.48	117.34998850	39.09999533	-2.6	250.5	2.074	-0.57428	0.07007	-0.14117	-0.80328	6	2.70	1.20	2.40
0x50	 16:04:34.376	-0.2183	0.0791	0.9243	-8.7891	-1.6479	-10.9253	8.5254	16.4685	108.9569	20.63	540	-177	-601	102428	-91.46	117.34998850	39.09999533	-2.6	250.5	2.074	-0.58203	0.07349	-0.14288	-0.79706	6	2.70	1.20	2.40
0x50	 16:04:34.575	-0.1563	0.1221	0.9575	-0.1221	-0.4272	-8.1177	7.0697	15.7434	106.2817	20.59	538	-158	-607	102428	-91.48	117.34998850	39.09999533	-2.6	250.5	2.074	-0.59979	0.07269	-0.13089	-0.78595	6	2.70	1.20	2.40
0x50	 16:04:34.774	-0.3218	0.1499	1.0200	27.5879	-14.4653	-11.7798	7.9596	15.2161	103.7988	20.59	549	-153	-606	102428	-91.47	117.34998850	39.09999533	-2.6	250.5	2.074	-0.61731	0.06146	-0.13562	-0.77243	6	2.70	1.20	2.40
0x50	 16:04:34.974	-0.2847	0.0908	0.9517	2.5635	-4.5166	7.7515	6.9543	16.9189	103.4473	20.55	559	-152	-598	102427	-91.41	117.34998850	39.09999533	-2.6	250.5	2.074	-0.61853	0.07813	-0.13806	-0.76950	6	2.70	1.20	2.40
0x50	 16:04:35.173	-0.2788	0.0171	1.0313	10.4980	-11.5356	5.4932	7.5476	15.0293	104.5844	20.58	553	-159	-609	102427	-91.41	117.34999167	39.09999550	-2.6	250.5	2.129	-0.61182	0.06332	-0.13144	-0.77734	6	2.70	1.20	2.40
0x50	 16:04:35.372	-0.2085	0.1582	0.9097	-38.0249	28.2593	-1.5259	6.8280	14.9854	105.9357	20.61	547	-171	-616	102427	-91.39	117.34999167	39.09999550	-2.6	250.5	2.129	-0.60220	0.06836	-0.12552	-0.78537	6	2.70	1.20	2.40
0x50	 16:04:35.602	-0.3296	0.0869	0.8545	12.6343	-1.0986	-1.4038	6.7017	17.3090	105.8368	20.55	564	-164	-599	102426	-91.30	117.34999167	39.09999550	-2.6	250.5	2.129	-0.60205	0.08499	-0.13666	-0.78201	6	2.70	1.20	2.40
0x50	 16:04:35.771	-0.3042	0.1333	1.0078	11.3525	-11.8408	-4.6387	5.3064	19.2535	104.7821	20.61	576	-154	-589	102425	-91.24	117.34999167	39.09999550	-2.6	250.5	2.129	-0.60712	0.10449	-0.13809	-0.77545	6	2.70	1.20	2.40
0x50	 16:04:35.973	-0.2383	0.1304	0.9033	16.0522	-12.2681	-11.7188	8.0914	17.3474	103.1232	20.58	571	-159	-590	102426	-91.26	117.34999167	39.09999550	-2.6	250.5	2.129	-0.62131	0.07446	-0.14816	-0.76575	6	2.70	1.20	2.40
0x50	 16:04:36.174	-0.3506	0.1294	0.9541	-4.4556	-3.4180	-5.6152	7.5201	17.9791	101.2225	20.55	572	-149	-591	102426	-91.28	117.34999350	39.09999483	-2.6	250.5	2.259	-0.63330	0.07941	-0.14902	-0.75519	6	2.70	1.20	2.40
0x50	 16:04:36.394	-0.2686	0.1709	0.9644	-10.8643	-0.6714	9.2163	6.7786	18.3197	102.2058	20.59	577	-148	-591	102426	-91.32	117.34999350	39.09999483	-2.6	250.5	2.259	-0.62610	0.08704	-0.14520	-0.76108	6	2.70	1.20	2.40
0x50	 16:04:36.566	-0.2114	0.1245	0.9136	5.0049	-3.7842	16.0522	9.0308	15.9796	104.6228	20.55	558	-172	-600	102427	-91.37	117.34999350	39.09999483	-2.6	250.5	2.259	-0.61215	0.06198	-0.14642	-0.77451	6	2.70	1.20	2.40
0x50	 16:04:36.773	-0.2998	0.1392	0.9019	-18.1274	17.3340	7.8125	8.2233	16.7267	106.7157	20.56	555	-182	-602	102427	-91.34	117.34999350	39.09999483	-2.6	250.5	2.259	-0.59726	0.07404	-0.14349	-0.78555	6	2.70	1.20	2.40
0x50	 16:04:36.996	-0.3486	0.2480	0.9077	-3.1128	19.8975	18.1274	7.1466	18.7866	109.2865	20.55	560	-185	-599	102425	-91.23	117.34999350	39.09999483	-2.6	250.5	2.259	-0.57803	0.09726	-0.14444	-0.79715	6	2.70	1.20	2.40
0x50	 16:04:37.163	-0.2524	0.2578	0.9390	23.6206	-22.5830	5.0049	11.2720	16.3751	110.9290	20.56	538	-216	-599	102424	-91.16	117.34999867	39.09999667	-2.6	250.5	2.407	-0.56992	0.06161	-0.16046	-0.80347	6	2.70	1.20	2.40
0x50	 16:04:37.389	-0.2051	0.1563	0.8745	-17.5781	4.8828	-15.6250	14.3317	13.2330	108.2813	20.55	515	-234	-609	102425	-91.21	117.34999867	39.09999667	-2.6	250.5	2.407	-0.58896	0.02005	-0.16742	-0.79031	6	2.70	1.20	2.40
0x50	 16:04:37.591	-0.2837	0.1802	0.9390	-18.9209	24.7192	-19.7754	10.3821	15.6226	104.0240	20.53	539	-203	-619	102426	-91.26	117.34999867	39.09999667	-2.6	250.5	2.407	-0.61694	0.05148	-0.15396	-0.77002	6	2.70	1.20	2.40
0x50	 16:04:37.781	-0.2734	0.2471	0.9263	11.1694	-1.4038	7.6904	10.0525	16.1884	103.3759	20.52	550	-192	-612	102425	-91.24	117.34999867	39.09999667	-2.6	250.5	2.407	-0.62103	0.05630	-0.15503	-0.76617	6	2.70	1.20	2.40
0x50	 16:04:37.972	-0.3003	0.1997	0.9995	3.1738	2.4414	1.4038	14.2932	14.6722	104.4031	20.53	532	-214	-604	102426	-91.30	117.34999867	39.09999667	-2.6	250.5	2.407	-0.61566	0.02448	-0.17517	-0.76785	6	2.70	1.20	2.40
0x50	 16:04:38.199	-0.4106	0.1113	0.7837	-35.3394	28.3813	-1.9531	11.1346	17.7484	104.5404	20.53	544	-207	-601	102426	-91.29	117.35000350	39.09999983	-2.6	250.5	1.907	-0.61353	0.06274	-0.16977	-0.76859	6	2.70	1.20	2.40
0x50	 16:04:38.405	-0.3369	0.2368	0.9907	-15.6250	27.5269	-11.9629	9.3549	20.7916	104.9908	20.55	560	-195	-593	102426	-91.29	117.35000350	39.09999983	-2.6	250.5	1.907	-0.60846	0.09384	-0.17313	-0.76871	6	2.70	1.20	2.40
0x50	 16:04:38.601	-0.3081	0.1689	0.9160	12.8784	-16.0522	8.4839	12.1344	18.8525	104.2712	20.53	555	-203	-593	102425	-91.24	117.35000350	39.09999983	-2.6	250.5	1.907	-0.61575	0.06454	-0.18231	-0.76376	6	2.70	1.20	2.40
0x50	 16:04:38.813	-0.2788	0.1865	0.9126	-10.9863	8.3618	-0.3052	10.5524	20.1050	104.4031	20.52	559	-200	-596	102425	-91.23	117.35000350	39.09999983	-2.6	250.5	1.907	-0.61353	0.08182	-0.17810	-0.76489	6	2.70	1.20	2.40
0x50	 16:04:39.007	-0.2959	0.2671	0.9824	9.3994	-10.7422	5.0659	10.6677	19.1217	104.6118	20.52	555	-201	-604	102426	-91.30	117.35000350	39.09999983	-2.6	250.5	1.907	-0.61252	0.07480	-0.17368	-0.76743	6	2.70	1.20	2.40
0x50	 16:04:39.223	-0.2725	0.2554	0.8750	12.0850	-16.2964	21.9727	11.8378	18.1714	106.5399	20.50	544	-216	-608	102428	-91.47	117.35000850	39.10000650	-2.6	250.5	2.111	-0.60040	0.06494	-0.17557	-0.77744	5	5.50	2.30	5.00
0x50	 16:04:39.416	-0.3218	0.1968	0.9146	-28.8086	15.1978	4.3335	13.1232	18.1439	108.7042	20.48	535	-231	-605	102427	-91.39	117.35000850	39.10000650	-2.6	250.5	2.111	-0.58633	0.06152	-0.18298	-0.78665	5	5.50	2.30	5.00
0x50	 16:04:39.644	-0.2656	0.2427	0.9199	10.9253	-14.9536	17.8833	11.1786	17.4023	110.4950	20.48	526	-233	-623	102427	-91.36	117.35000850	39.10000650	-2.6	250.5	2.111	-0.57285	0.06882	-0.16495	-0.79987	5	5.50	2.30	5.00
0x50	 16:04:39.807	-0.2754	0.2217	0.9058	4.0894	0.2441	7.3242	13.2660	16.4136	111.5442	20.48	511	-248	-622	102427	-91.33	117.35000850	39.10000650	-2.6	250.5	2.111	-0.56659	0.05295	-0.17429	-0.80353	5	5.50	2.30	5.00
0x50	 16:04:40.024	-0.2290	0.2256	0.9048	-7.9956	2.1362	3.9063	13.3868	16.2598	113.0713	20.48	504	-258	-622	102427	-91.37	117.35000850	39.10000650	-2.6	250.5	2.111	-0.55585	0.05353	-0.17371	-0.81110	5	5.50	2.30	5.00
0x50	 16:04:40.229	-0.2383	0.2134	0.9004	-4.6997	0.6104	2.4414	13.2715	15.8148	113.0658	20.45	499	-262	-626	102427	-91.38	117.35001400	39.10001850	-2.6	34.6	4.611	-0.55576	0.05087	-0.17084	-0.81195	5	5.50	2.30	5.00
0x50	 16:04:40.350	-0.2817	0.2197	0.9097	-1.4038	12.6953	1.9531	13.3813	16.5784	113.2251	20.45	501	-263	-624	102427	-91.39	117.35001400	39.10001850	-2.6	34.6	4.611	-0.55481	0.05612	-0.17508	-0.81134	5	5.50	2.30	5.00
0x50	 16:04:40.549	-0.2988	0.1968	0.9551	-6.6528	-3.9673	-1.3428	12.6013	17.2815	113.5162	20.52	502	-261	-620	102427	-91.39	117.35001400	39.10001850	-2.6	34.6	4.611	-0.55243	0.06540	-0.17261	-0.81281	5	5.50	2.30	5.00
0x50	 16:04:40.747	-0.2612	0.1904	0.9756	2.4414	-11.4746	-12.0239	12.4200	16.1005	111.8463	20.45	498	-260	-629	102427	-91.35	117.35001400	39.10001850	-2.6	34.6	4.611	-0.56403	0.05530	-0.16672	-0.80679	5	5.50	2.30	5.00
0x50	 16:04:40.948	-0.2695	0.2046	0.9443	10.0708	-7.5073	-13.1226	13.1506	15.4138	108.5229	20.50	503	-253	-629	102427	-91.34	117.35001400	39.10001850	-2.6	34.6	4.611	-0.58740	0.04187	-0.16995	-0.79007	5	5.50	2.30	5.00
0x50	 16:04:41.146	-0.2739	0.2510	0.8662	-2.0142	8.9111	-0.4272	13.6011	16.7102	108.3087	20.47	509	-248	-619	102426	-91.32	117.35001883	39.10003617	-2.6	26.2	5.574	-0.58920	0.04834	-0.17947	-0.78622	5	5.50	2.30	5.00
