StartTime: 2022-01-08 16:09:30.288
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
0x50	 16:09:30.288	-0.2227	0.2168	0.9629	-2.6245	-8.3618	7.7515	21.5991	9.9701	103.9691	16.84	432	-304	-539	102448	-93.09	117.35015750	39.09995483	9.7	60.3	0.000	0.62137	0.04395	0.20755	0.75418	13	1.40	0.80	1.20
0x50	 16:09:30.487	-0.0913	0.3164	0.8862	0.6104	-3.9063	-6.5918	21.3739	7.9211	103.9746	16.86	426	-306	-545	102447	-93.03	117.35015750	39.09995483	9.7	60.3	0.000	0.61545	0.04770	0.19965	0.76089	13	1.40	0.80	1.20
0x50	 16:09:30.686	-0.1826	0.2876	0.9385	6.7139	5.5542	-5.2490	22.0221	10.3546	103.3099	16.87	413	-308	-558	102446	-92.96	117.35015750	39.09995483	9.7	60.3	0.000	0.61377	0.06042	0.18756	0.76443	13	1.40	0.80	1.20
0x50	 16:09:30.885	-0.1182	0.3984	0.9746	2.6245	2.0142	-5.7373	21.8958	9.2999	102.0850	16.89	427	-303	-545	102446	-92.94	117.35015750	39.09995483	9.7	60.3	0.000	0.61996	0.04852	0.20413	0.75598	13	1.40	0.80	1.20
0x50	 16:09:31.084	-0.1182	0.3174	0.9043	-7.0190	4.6387	-11.6577	20.4126	10.8105	101.9312	16.81	433	-300	-545	102446	-92.90	117.35015750	39.09995483	9.7	60.3	0.000	0.62720	0.05710	0.19724	0.75122	13	1.40	0.80	1.20
0x50	 16:09:31.284	-0.2866	0.2832	0.9082	52.3682	-33.0811	-4.0283	18.5394	10.9589	102.7222	16.84	439	-288	-545	102446	-92.92	117.35015933	39.09995533	9.6	60.3	0.000	0.62997	0.03909	0.19540	0.75055	13	1.40	0.80	1.20
0x50	 16:09:31.482	-0.0850	0.2646	1.0195	-5.7373	-35.7666	5.1880	20.1379	6.0040	101.5631	16.84	439	-280	-557	102446	-92.90	117.35015933	39.09995533	9.6	60.3	0.000	0.62540	0.02649	0.18411	0.75775	13	1.40	0.80	1.20
0x50	 16:09:31.681	-0.0996	0.3315	0.9292	8.0566	20.3857	-22.2778	20.7916	6.7841	100.6458	16.86	425	-297	-567	102445	-92.89	117.35015933	39.09995533	9.6	60.3	0.000	0.62875	0.07043	0.16788	0.75592	13	1.40	0.80	1.20
0x50	 16:09:31.880	-0.1211	0.3433	0.8682	-12.0850	11.5967	4.9438	22.5989	10.0031	101.1511	16.84	424	-297	-574	102445	-92.88	117.35015933	39.09995533	9.6	60.3	0.000	0.63504	0.07019	0.17581	0.74884	13	1.40	0.80	1.20
0x50	 16:09:32.080	-0.2266	0.3320	0.9146	-3.0518	2.1973	3.4180	21.1102	10.3931	102.9639	16.87	445	-294	-541	102444	-92.79	117.35015933	39.09995533	9.6	60.3	0.000	0.63351	0.05789	0.20508	0.74371	13	1.40	0.80	1.20
0x50	 16:09:32.278	-0.0933	0.3945	0.9092	8.3618	-5.3101	-0.9155	22.0990	9.1791	103.5132	16.84	447	-297	-540	102443	-92.72	117.35016483	39.09996333	10.1	18.1	4.000	0.62265	0.04391	0.19821	0.75565	13	1.40	0.80	1.20
0x50	 16:09:32.486	-0.1074	0.4063	0.8965	-3.2349	3.9673	-1.3428	22.2528	9.8218	103.6615	16.86	438	-305	-544	102442	-92.62	117.35016483	39.09996333	10.1	18.1	4.000	0.61755	0.05658	0.19867	0.75885	13	1.40	0.80	1.20
